HOME,FORM_PTS,FORM_FG2A,FORM_FG3A,FORM_FTA,FG2_PCT,FG3_PCT,FT_PCT,FORM_MIN,OPP_PACE,OPP_DEF_RATING,PTS
0,9.2,6.4,3.8,1.6,0.40625,0.2631578947368421,0.625,24.6,102.5,110.1,8
0,10.0,7.0,4.0,2.0,0.37142857142857144,0.3,0.6,23.8,98.3,108.0,12
1,10.8,6.8,4.8,2.0,0.4117647058823529,0.2916666666666667,0.5,25.8,100.6,113.5,25
1,12.4,7.4,4.8,1.8,0.43243243243243246,0.33333333333333337,0.6666666666666666,28.0,99.4,116.2,14
0,13.8,8.2,4.6,1.2,0.4634146341463415,0.391304347826087,0.6666666666666667,28.6,102.6,104.7,4
0,12.6,7.2,4.8,1.4,0.4444444444444445,0.375,0.5714285714285715,29.8,102.6,104.7,16
1,14.2,7.2,5.4,1.4,0.4722222222222222,0.40740740740740744,0.5714285714285715,32.2,99.8,108.6,19
1,15.6,7.8,4.6,1.6,0.5384615384615385,0.4347826086956522,0.7499999999999999,31.6,100.1,111.4,17
1,14.0,7.2,4.4,1.4,0.5277777777777778,0.40909090909090906,0.7142857142857143,30.2,103.5,116.2,22
0,15.6,7.6,5.6,1.2,0.5,0.4285714285714286,0.6666666666666667,32.4,101.3,108.9,12
0,17.2,8.6,6.4,0.8,0.5116279069767442,0.40625,0.7499999999999999,34.6,100.1,111.4,12
0,16.4,9.6,6.2,1.4,0.45833333333333337,0.3548387096774194,0.7142857142857143,33.8,101.6,111.9,18
0,16.2,10.4,5.6,2.6,0.40384615384615385,0.35714285714285715,0.6923076923076923,33.2,101.6,108.0,14
1,15.6,9.8,5.2,3.4,0.4081632653061224,0.34615384615384615,0.6470588235294118,32.4,105.3,112.5,14
1,14.0,9.4,4.6,4.2,0.40425531914893614,0.2608695652173913,0.6666666666666666,30.2,101.4,110.9,6
1,12.8,8.2,4.0,5.0,0.41463414634146345,0.25,0.6,26.6,102.7,117.7,17
1,13.8,7.6,3.8,5.0,0.5,0.2631578947368421,0.64,25.6,99.8,108.6,12
1,12.6,6.8,4.2,4.8,0.5,0.23809523809523808,0.5833333333333334,27.2,101.8,114.1,30
0,15.8,8.4,5.4,5.2,0.5238095238095238,0.2222222222222222,0.6538461538461539,30.4,101.3,108.9,5
1,14.0,7.8,5.0,4.4,0.48717948717948717,0.24,0.6363636363636362,29.2,102.2,111.3,16
0,16.0,8.8,4.2,4.4,0.5227272727272726,0.2857142857142857,0.7272727272727273,29.2,100.6,113.5,5
1,13.6,8.8,4.4,3.6,0.45454545454545453,0.22727272727272727,0.7222222222222222,27.8,106.2,110.0,14
0,14.0,8.4,4.4,3.2,0.45238095238095233,0.2727272727272727,0.8749999999999999,25.6,101.6,108.0,17
